what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656444765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656448109
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1283656448750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1283656449171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283656450015
executed,command,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui.format.document",1283656451093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283656452437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656454281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656458718
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1283656459859
closed,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1283656459859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656463031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1283656464125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656467796
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283656467937
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283656468031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656469015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656472265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1283656473546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656473875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656474812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283656474828
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1283656475968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283656476765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.maximizePart",1283656477625
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1283656478921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283656483562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656484593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656486328
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1283656488281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1283656493531
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1283656495250
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1283656495781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656496406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656500515
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1283656501546
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1283656501718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656502093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283656504609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1283656504640
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1283656505578
