what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1282984761609
os,sysinfo,,,"win32",1282984761609
arch,sysinfo,,,"x86",1282984761609
ws,sysinfo,,,"win32",1282984761609
locale,sysinfo,,,"ko_KR",1282984761609
processors,sysinfo,,,"2",1282984761609
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1282984761609
java.runtime.version,sysinfo,,,"1.5.0_19-b02",1282984761609
java.specification.name,sysinfo,,,"Java Platform API Specification",1282984761609
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282984761609
java.specification.version,sysinfo,,,"1.5",1282984761609
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1282984761609
java.version,sysinfo,,,"1.5.0_19",1282984761609
java.vm.info,sysinfo,,,"mixed mode, sharing",1282984761609
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1282984761609
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1282984761609
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282984761609
java.vm.specification.version,sysinfo,,,"1.0",1282984761609
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1282984761609
java.vm.version,sysinfo,,,"1.5.0_19-b02",1282984761609
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1282984765015
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1282984765078
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282984767625
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1282984767781
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1282984767796
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1282984768109
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282984768156
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1282984768578
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1282984770593
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1282984770609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984771031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984773062
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1282984773312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984777562
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984782359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984788390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984797796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984810796
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984813234
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984820812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984824656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984825156
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984827453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282984828468
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1282984832468
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1282984832734
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1282984832953
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282984834078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984838312
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984874171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1282984875031
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1282984875546
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1282984915640
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.delete.line",1282984917515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282984918750
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984920531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984922062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984922921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984922921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984923046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984942140
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984942609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984943281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984944734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984945906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984946343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984947921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984949046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984949062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984950859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984950984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984955140
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282984956765
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282985889187
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1282985897453
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1282985898640
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1282985898640
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1282985898671
