what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1282982085406
os,sysinfo,,,"win32",1282982085421
arch,sysinfo,,,"x86",1282982085421
ws,sysinfo,,,"win32",1282982085421
locale,sysinfo,,,"ko_KR",1282982085421
processors,sysinfo,,,"2",1282982085421
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1282982085421
java.runtime.version,sysinfo,,,"1.5.0_19-b02",1282982085421
java.specification.name,sysinfo,,,"Java Platform API Specification",1282982085421
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282982085421
java.specification.version,sysinfo,,,"1.5",1282982085421
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1282982085421
java.version,sysinfo,,,"1.5.0_19",1282982085421
java.vm.info,sysinfo,,,"mixed mode, sharing",1282982085421
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1282982085421
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1282982085421
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282982085421
java.vm.specification.version,sysinfo,,,"1.0",1282982085421
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1282982085421
java.vm.version,sysinfo,,,"1.5.0_19-b02",1282982085421
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1282982086265
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1282982086265
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1282982086312
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1282982086500
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1282982086718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982089109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982092828
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.LogCatView",1282982094296
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.DeviceView",1282982094375
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1282982094500
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.FileExplorerView",1282982094546
activated,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.FileExplorerView",1282982094593
activated,perspective,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.Perspective",1282982094625
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1282982101203
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282982101234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982102656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982118171
activated,perspective,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.Perspective",1282982119453
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1282982120812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982162140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982694406
activated,perspective,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.Perspective",1282982697265
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1282982698531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982710656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982713171
activated,perspective,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.Perspective",1282982714062
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1282982716187
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1282982718062
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1282982718265
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1282982718468
opened,view,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1282982718671
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1282982718781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.maximizePart",1282982718796
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1282982720500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982727046
error,log,,,"Failed to load properties file for project 'ApiDemos'",1282982787406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982787453
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1282982788687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982820781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982823390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982824125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282982831015
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1282982839921
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1282982856828
